cell,n,owned_n,owned_rate,relocated_performed_n,relocated_performed_rate,recited_disowned_n,recited_disowned_rate,uncodeable_n,no_consensus_n,incomplete_n,disownership_hit_n,disownership_hit_rate
deepseek-chat-direct,125,72,0.576,53,0.424,0,0.0,0,0,0,0,0.0
deepseek-chat-or-pin-deepinfra,125,22,0.176,101,0.808,2,0.016,0,0,0,0,0.0
deepseek-v3-2-or-16k,25,13,0.52,11,0.44,1,0.04,0,0,0,1,0.04
deepseek-v3-2-or-pin-alibaba,125,108,0.864,17,0.136,0,0.0,0,0,0,0,0.0
deepseek-v3-2-or-pin-atlascloud,125,89,0.712,35,0.28,1,0.008,0,0,0,0,0.0
deepseek-v3-2-or-pin-baidu,125,83,0.664,41,0.328,1,0.008,0,0,0,0,0.0
deepseek-v3-2-or-pin-chutes,125,106,0.848,15,0.12,0,0.0,4,0,0,1,0.008
deepseek-v3-2-or-pin-deepinfra,125,108,0.864,17,0.136,0,0.0,0,0,0,0,0.0
deepseek-v3-2-or-pin-friendli,125,104,0.832,21,0.168,0,0.0,0,0,0,1,0.008
deepseek-v3-2-or-pin-google,125,101,0.808,24,0.192,0,0.0,0,0,0,0,0.0
deepseek-v3-2-or-pin-novita,125,85,0.68,38,0.304,1,0.008,0,1,0,1,0.008
deepseek-v3-2-or-pin-parasail,125,108,0.864,16,0.128,0,0.0,1,0,0,1,0.008
deepseek-v3-2-or-pin-siliconflow,125,96,0.768,27,0.216,1,0.008,1,0,0,1,0.008
deepseek-v3-2-or-r2,25,20,0.8,5,0.2,0,0.0,0,0,0,0,0.0
deepseek-v3-2-or-r3,25,19,0.76,6,0.24,0,0.0,0,0,0,0,0.0
deepseek-v4-pro-direct,25,18,0.72,7,0.28,0,0.0,0,0,0,0,0.0
deepseek-v4-pro-or-pin-atlascloud,125,67,0.536,49,0.392,3,0.024,4,2,0,4,0.032
deepseek-v4-pro-or-pin-gmicloud,125,83,0.664,38,0.304,2,0.016,1,1,0,3,0.024
deepseek-v4-pro-or-pin-novita,125,78,0.624,42,0.336,2,0.016,2,1,0,6,0.048
deepseek-v4-pro-or-pin-parasail,125,61,0.488,58,0.464,4,0.032,1,1,0,6,0.048
deepseek-v4-pro-or-pin-siliconflow,125,71,0.568,46,0.368,5,0.04,0,3,0,8,0.064
deepseek-v4-pro-or-pin-together,125,72,0.576,46,0.368,3,0.024,1,3,0,3,0.024
gemini-2-0-flash-lite-or-pin-google,125,92,0.736,32,0.256,1,0.008,0,0,0,0,0.0
gemini-2-0-flash-or-pin-google,125,118,0.944,5,0.04,0,0.0,0,2,0,0,0.0
gemini-2-5-flash-direct,125,42,0.336,46,0.368,31,0.248,0,6,0,16,0.128
gemini-2-5-flash-lite-direct,125,81,0.648,44,0.352,0,0.0,0,0,0,0,0.0
gemini-2-5-pro-16k,125,39,0.312,86,0.688,0,0.0,0,0,0,1,0.008
gemini-2-5-pro-or-pin-google,125,41,0.328,82,0.656,2,0.016,0,0,0,0,0.0
gemini-3-1-flash-lite-direct,125,60,0.48,59,0.472,4,0.032,0,2,0,1,0.008
gemini-3-1-pro-16k,125,23,0.184,100,0.8,2,0.016,0,0,0,6,0.048
gemini-3-1-pro-or-pin-google,125,26,0.208,99,0.792,0,0.0,0,0,0,3,0.024
gemini-3-5-flash-or-pin-google,125,18,0.144,104,0.832,2,0.016,0,1,0,2,0.016
gemini-3-flash-preview-direct,125,19,0.152,90,0.72,13,0.104,0,3,0,6,0.048
gemma-4-26b-a4b-direct,125,38,0.304,83,0.664,2,0.016,0,2,0,11,0.088
gemma-4-31b-direct,125,47,0.376,77,0.616,0,0.0,0,1,0,5,0.04
glm-4-5-or,25,10,0.4,14,0.56,1,0.04,0,0,0,0,0.0
glm-4-5-or-pin-novita,125,63,0.504,56,0.448,4,0.032,0,2,0,1,0.008
glm-4-5-or-pin-zai,125,63,0.504,61,0.488,1,0.008,0,0,0,3,0.024
glm-4-6-coding-direct,125,36,0.288,85,0.68,3,0.024,0,1,0,3,0.024
glm-4-6-or,25,8,0.32,15,0.6,1,0.04,0,1,0,1,0.04
glm-4-6-or-pin-atlascloud,125,40,0.32,82,0.656,2,0.016,0,1,0,7,0.056
glm-4-6-or-pin-deepinfra,125,47,0.376,76,0.608,2,0.016,0,0,0,2,0.016
glm-4-6-or-pin-novita,125,35,0.28,89,0.712,0,0.0,0,1,0,4,0.032
glm-4-6-or-pin-siliconflow,125,36,0.288,87,0.696,1,0.008,0,1,0,3,0.024
glm-4-6-or-pin-venice,125,38,0.304,85,0.68,1,0.008,0,1,0,1,0.008
glm-4-6-or-pin-zai,125,34,0.272,88,0.704,2,0.016,0,1,0,4,0.032
glm-4-7-or,25,5,0.2,19,0.76,0,0.0,0,1,0,1,0.04
glm-4-7-or-pin-atlascloud,125,47,0.376,76,0.608,1,0.008,0,1,0,3,0.024
glm-4-7-or-pin-cerebras,125,38,0.304,86,0.688,1,0.008,0,0,0,1,0.008
glm-4-7-or-pin-deepinfra,125,44,0.352,76,0.608,4,0.032,0,1,0,6,0.048
glm-4-7-or-pin-dekallm,125,41,0.328,84,0.672,0,0.0,0,0,0,0,0.0
glm-4-7-or-pin-google,125,49,0.392,72,0.576,3,0.024,0,1,0,6,0.048
glm-4-7-or-pin-novita,125,42,0.336,83,0.664,0,0.0,0,0,0,2,0.016
glm-4-7-or-pin-parasail,125,31,0.248,91,0.728,3,0.024,0,0,0,4,0.032
glm-4-7-or-pin-phala,125,56,0.448,68,0.544,1,0.008,0,0,0,4,0.032
glm-4-7-or-pin-siliconflow,125,38,0.304,86,0.688,1,0.008,0,0,0,1,0.008
glm-4-7-or-pin-venice,125,46,0.368,74,0.592,3,0.024,0,2,0,4,0.032
glm-4-7-or-pin-zai,125,37,0.296,88,0.704,0,0.0,0,0,0,1,0.008
glm-5-1-coding-direct,125,46,0.368,76,0.608,0,0.0,0,3,0,7,0.056
glm-5-1-or,25,12,0.48,13,0.52,0,0.0,0,0,0,1,0.04
glm-5-1-or-pin-ambient,125,65,0.52,54,0.432,1,0.008,2,3,0,2,0.016
glm-5-1-or-pin-atlascloud,125,67,0.536,55,0.44,1,0.008,0,2,0,6,0.048
glm-5-1-or-pin-chutes,125,45,0.36,77,0.616,1,0.008,1,1,0,3,0.024
glm-5-1-or-pin-deepinfra,125,53,0.424,67,0.536,2,0.016,1,2,0,3,0.024
glm-5-1-or-pin-friendli,125,56,0.448,58,0.464,1,0.008,10,0,0,2,0.016
glm-5-1-or-pin-gmicloud,125,65,0.52,57,0.456,2,0.016,0,1,0,9,0.072
glm-5-1-or-pin-inceptron,125,52,0.416,57,0.456,2,0.016,12,2,0,5,0.04
glm-5-1-or-pin-novita,125,53,0.424,62,0.496,2,0.016,5,3,0,4,0.032
glm-5-1-or-pin-parasail,125,51,0.408,69,0.552,2,0.016,0,3,0,3,0.024
glm-5-1-or-pin-phala,125,49,0.392,73,0.584,2,0.016,0,1,0,5,0.04
glm-5-1-or-pin-siliconflow,125,54,0.432,70,0.56,1,0.008,0,0,0,6,0.048
glm-5-1-or-pin-together,125,60,0.48,62,0.496,0,0.0,3,0,0,3,0.024
