model,aggregate_model,cell,n,conditions,avg_response_chars,mapping_method,source_models,freeflow_dir
deepseek-chat,deepseek-chat,deepseek-chat-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5705.1,cell_prefix,deepseek-chat,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-chat-direct
deepseek-chat,deepseek-chat,deepseek-chat-or-pin-deepinfra,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5717.6,cell_prefix,deepseek/deepseek-chat,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-chat-or-pin-deepinfra
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-16k,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,5141.2,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-16k
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-alibaba,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5884.7,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-alibaba
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-atlascloud,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5246.3,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-atlascloud
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-baidu,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5165.7,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-baidu
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-chutes,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5219.6,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-chutes
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-deepinfra,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,8114.3,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-deepinfra
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-friendli,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,6289.6,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-friendli
deepseek-v3-2,deepseek-v3-2,deepseek-v3-2-or-pin-google,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,5400.7,cell_prefix,deepseek/deepseek-v3.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-pin-google
