cell	n_samples	n_flagged	composite_raw	composite_register	composite_register_rescaled	composite_register_per_25	flagged_files
freeflow_deepseek-chat-direct	125	3	204	160	163.9	32.8	MID_1.json;MID_2.json;MID_4.json
freeflow_deepseek-chat-or-pin-deepinfra	125	0	47	47	47	9.4	
freeflow_deepseek-v3-2-or-16k	25	0	41	41	41	41.0	
freeflow_deepseek-v3-2-or-pin-alibaba	125	1	212	205	206.7	41.3	OPEN_17.json
freeflow_deepseek-v3-2-or-pin-atlascloud	125	2	243	225	228.7	45.7	MID_13.json;OPEN_17.json
freeflow_deepseek-v3-2-or-pin-baidu	125	0	231	231	231	46.2	
freeflow_deepseek-v3-2-or-pin-chutes	121	2	268	252	256.2	52.9	OPEN_1.json;OPEN_6.json
freeflow_deepseek-v3-2-or-pin-deepinfra	125	2	304	256	260.2	52.0	LONG_9.json;MID_16.json
freeflow_deepseek-v3-2-or-pin-friendli	125	2	269	237	240.9	48.2	MID_23.json;OPEN_9.json
freeflow_deepseek-v3-2-or-pin-google	125	2	307	292	296.7	59.3	OPEN_3.json;OPEN_8.json
freeflow_deepseek-v3-2-or-pin-novita	125	1	280	260	262.1	52.4	MID_25.json
freeflow_deepseek-v3-2-or-pin-parasail	125	3	323	273	279.7	55.9	LONG_23.json;MID_12.json;OPEN_11.json
freeflow_deepseek-v3-2-or-pin-siliconflow	125	2	257	229	232.7	46.5	MID_24.json;MID_25.json
freeflow_deepseek-v3-2-or-r2	25	1	64	57	59.4	59.4	OPEN_2.json
freeflow_deepseek-v3-2-or-r3	25	0	46	46	46	46.0	
freeflow_deepseek-v4-pro-direct	25	0	43	43	43	43.0	
freeflow_deepseek-v4-pro-or-pin-atlascloud	121	0	198	198	198	40.9	
freeflow_deepseek-v4-pro-or-pin-gmicloud	124	1	241	222	223.8	45.1	VARY_10.json
freeflow_deepseek-v4-pro-or-pin-novita	123	1	267	250	252.0	51.2	MID_9.json
freeflow_deepseek-v4-pro-or-pin-parasail	124	1	227	203	204.7	41.3	MID_15.json
freeflow_deepseek-v4-pro-or-pin-siliconflow	125	1	264	224	225.8	45.2	LONG_20.json
freeflow_deepseek-v4-pro-or-pin-together	124	1	209	196	197.6	39.8	MID_18.json
freeflow_gemini-2-0-flash-lite-or-pin-google	125	0	134	134	134	26.8	
freeflow_gemini-2-0-flash-or-pin-google	125	1	129	123	124.0	24.8	OPEN_5.json
freeflow_gemini-2-5-flash-direct	125	0	53	53	53	10.6	
freeflow_gemini-2-5-flash-lite-direct	125	1	155	141	142.1	28.4	MID_21.json
freeflow_gemini-2-5-pro-16k	125	2	300	269	273.4	54.7	MID_10.json;VARY_20.json
freeflow_gemini-2-5-pro-or-pin-google	125	0	234	234	234	46.8	
freeflow_gemini-3-1-flash-lite-direct	125	2	227	212	215.4	43.1	OPEN_1.json;OPEN_13.json
freeflow_gemini-3-1-pro-16k	125	3	263	235	240.8	48.2	OPEN_12.json;OPEN_4.json;OPEN_5.json
freeflow_gemini-3-1-pro-or-pin-google	125	6	264	200	210.1	42.0	OPEN_12.json;OPEN_15.json;OPEN_19.json;OPEN_4.json;OPEN_6.json;OPEN_7.json
freeflow_gemini-3-5-flash-or-pin-google	125	1	321	314	316.5	63.3	OPEN_22.json
freeflow_gemini-3-flash-preview-direct	125	1	393	376	379.0	75.8	MID_8.json
freeflow_gemma-4-26b-a4b-direct	125	9	658	483	520.5	104.1	LONG_10.json;LONG_11.json;MID_15.json;MID_19.json;OPEN_14.json;OPEN_9.json;SHORT_11.json;SHORT_12.json;SHORT_21.json
freeflow_gemma-4-31b-direct	125	6	300	237	248.9	49.8	MID_23.json;OPEN_16.json;OPEN_20.json;SHORT_2.json;SHORT_3.json;SHORT_8.json
freeflow_glm-4-5-or	25	0	48	48	48	48.0	
freeflow_glm-4-5-or-pin-novita	125	2	208	176	178.9	35.8	LONG_16.json;VARY_6.json
freeflow_glm-4-5-or-pin-zai	125	1	194	158	159.3	31.9	LONG_10.json
freeflow_glm-4-6-coding-direct	125	0	190	190	190	38.0	
freeflow_glm-4-6-or	25	2	77	39	42.4	42.4	LONG_3.json;MID_1.json
freeflow_glm-4-6-or-pin-atlascloud	125	5	240	175	182.3	36.5	LONG_4.json;MID_18.json;MID_4.json;OPEN_15.json;OPEN_25.json
freeflow_glm-4-6-or-pin-deepinfra	125	1	231	220	221.8	44.4	MID_19.json
freeflow_glm-4-6-or-pin-novita	125	0	247	247	247	49.4	
freeflow_glm-4-6-or-pin-siliconflow	125	2	161	142	144.3	28.9	MID_23.json;MID_3.json
