model	samples_all_conditions	posture_label_changed_n	posture_label_changed_pct	value_holding_changed_n	value_holding_changed_pct	layer_a_topic_set_changed_n	layer_a_topic_set_changed_pct	all4_strict_old_n	all4_strict_new_n	all4_strict_denominator	all4_strict_old_pct	all4_strict_new_pct	all4_strict_shift_pp	all4_broad_old_n	all4_broad_new_n	all4_broad_denominator	all4_broad_old_pct	all4_broad_new_pct	all4_broad_shift_pp	ctrl_strict_old_n	ctrl_strict_new_n	ctrl_strict_denominator	ctrl_strict_old_pct	ctrl_strict_new_pct	ctrl_strict_shift_pp	ctrl_broad_old_n	ctrl_broad_new_n	ctrl_broad_denominator	ctrl_broad_old_pct	ctrl_broad_new_pct	ctrl_broad_shift_pp	g_strict_old_n	g_strict_new_n	g_strict_denominator	g_strict_old_pct	g_strict_new_pct	g_strict_shift_pp	g_broad_old_n	g_broad_new_n	g_broad_denominator	g_broad_old_pct	g_broad_new_pct	g_broad_shift_pp
codestral-2508	120	43	35.833333333333336	43	35.833333333333336	109	90.83333333333333	16	0	80	20.0	0.0	-20.0	43	0	80	53.75	0.0	-53.75	14	0	20	70.0	0.0	-70.0	14	0	20	70.0	0.0	-70.0	2	0	60	3.3333333333333335	0.0	-3.3333333333333335	29	0	60	48.333333333333336	0.0	-48.333333333333336
devstral-2512	120	42	35.0	42	35.0	120	100.0	10	10	80	12.5	12.5	0.0	50	32	80	62.5	40.0	-22.5	0	0	20	0.0	0.0	0.0	0	0	20	0.0	0.0	0.0	10	10	60	16.666666666666668	16.666666666666668	0.0	50	32	60	83.33333333333333	53.333333333333336	-29.999999999999993
fable-5	120	14	11.666666666666666	14	11.666666666666666	118	98.33333333333333	66	72	80	82.5	90.0	7.5	74	79	80	92.5	98.75	6.25	15	12	20	75.0	60.0	-15.0	20	19	20	100.0	95.0	-5.0	51	60	60	85.0	100.0	15.0	54	60	60	90.0	100.0	10.0
gemini-3-5-flash-lite	120	34	28.333333333333332	34	28.333333333333332	119	99.16666666666667	53	45	80	66.25	56.25	-10.0	68	55	80	85.0	68.75	-16.25	9	3	20	45.0	15.0	-30.0	19	3	20	95.0	15.0	-80.0	44	42	60	73.33333333333333	70.0	-3.3333333333333286	49	52	60	81.66666666666667	86.66666666666667	5.0
gemini-3-6-flash	120	42	35.0	42	35.0	118	98.33333333333333	50	25	80	62.5	31.25	-31.25	64	52	80	80.0	65.0	-15.0	1	0	20	5.0	0.0	-5.0	11	0	20	55.0	0.0	-55.0	49	25	60	81.66666666666667	41.666666666666664	-40.00000000000001	53	52	60	88.33333333333333	86.66666666666667	-1.6666666666666572
gpt-5-1-codex-max	120	26	21.666666666666668	26	21.666666666666668	68	56.666666666666664	7	0	80	8.75	0.0	-8.75	16	0	80	20.0	0.0	-20.0	2	0	20	10.0	0.0	-10.0	3	0	20	15.0	0.0	-15.0	5	0	60	8.333333333333334	0.0	-8.333333333333334	13	0	60	21.666666666666668	0.0	-21.666666666666668
gpt-5-1-codex-mini	120	30	25.0	30	25.0	77	64.16666666666667	22	4	80	27.5	5.0	-22.5	34	4	80	42.5	5.0	-37.5	10	3	20	50.0	15.0	-35.0	12	3	20	60.0	15.0	-45.0	12	1	60	20.0	1.6666666666666667	-18.333333333333332	22	1	60	36.666666666666664	1.6666666666666667	-35.0
gpt-5-4-mini	120	56	46.666666666666664	56	46.666666666666664	80	66.66666666666667	15	0	80	18.75	0.0	-18.75	56	0	80	70.0	0.0	-70.0	11	0	20	55.0	0.0	-55.0	14	0	20	70.0	0.0	-70.0	4	0	60	6.666666666666667	0.0	-6.666666666666667	42	0	60	70.0	0.0	-70.0
gpt-5-4-nano	120	54	45.0	54	45.0	75	62.5	42	1	80	52.5	1.25	-51.25	55	1	80	68.75	1.25	-67.5	6	1	20	30.0	5.0	-25.0	10	1	20	50.0	5.0	-45.0	36	0	60	60.0	0.0	-60.0	45	0	60	75.0	0.0	-75.0
gpt-5-6-luna	120	39	32.5	39	32.5	87	72.5	30	1	80	37.5	1.25	-36.25	41	17	80	51.25	21.25	-30.0	11	1	20	55.0	5.0	-50.0	11	1	20	55.0	5.0	-50.0	19	0	60	31.666666666666668	0.0	-31.666666666666668	30	16	60	50.0	26.666666666666668	-23.333333333333332
