pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_09951	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_1.json	2143	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_1.md
BV1_09952	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_10.json	1034	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_10.md
BV1_09953	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_11.json	2236	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_11.md
BV1_09954	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_12.json	2496	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_12.md
BV1_09955	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_13.json	1913	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_13.md
BV1_09956	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_14.json	2394	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_14.md
BV1_09957	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_15.json	1413	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_15.md
BV1_09958	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_16.json	2559	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_16.md
BV1_09959	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_17.json	2389	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_17.md
BV1_09960	z-ai/glm-5.3	glm-5-3-or-pin-z-ai-20260825	LONG	openrouter	glm-5-3-or-pin-z-ai-20260825/LONG_18.json	3075	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-or-pin-z-ai-20260825/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-or-pin-z-ai-20260825/LONG_18.md
