pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_09951	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_1.json	2240	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_1.md
BV1_09952	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_10.json	2072	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_10.md
BV1_09953	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_11.json	2421	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_11.md
BV1_09954	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_12.json	2017	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_12.md
BV1_09955	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_13.json	2254	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_13.md
BV1_09956	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_14.json	2124	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_14.md
BV1_09957	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_15.json	2122	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_15.md
BV1_09958	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_16.json	2194	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_16.md
BV1_09959	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_17.json	2403	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_17.md
BV1_09960	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_18.json	2473	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_18.md
BV1_09961	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_19.json	2469	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_19.md
BV1_09962	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_2.json	2446	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_2.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_2.md
BV1_09963	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_20.json	2605	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_20.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_20.md
BV1_09964	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_21.json	2354	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_21.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_21.md
BV1_09965	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_22.json	2525	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_22.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_22.md
BV1_09966	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_23.json	2106	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_23.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_23.md
BV1_09967	z-ai/glm-5.3-flash	glm-5-3-flash-or-pin-z-ai-20260826	LONG	openrouter	glm-5-3-flash-or-pin-z-ai-20260826/LONG_24.json	2259	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_glm-5-3-flash-or-pin-z-ai-20260826/LONG_24.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/glm-5-3-flash-or-pin-z-ai-20260826/LONG_24.md
