pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_03226	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_1.json	2524	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_1.md
BV1_03227	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_10.json	2327	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_10.md
BV1_03228	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_11.json	2524	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_11.md
BV1_03229	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_12.json	2414	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_12.md
BV1_03230	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_13.json	2601	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_13.md
BV1_03231	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_14.json	2433	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_14.md
BV1_03232	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_15.json	2472	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_15.md
BV1_03233	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_16.json	2494	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_16.md
BV1_03234	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_17.json	2335	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_17.md
BV1_03235	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_18.json	2593	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_18.md
BV1_03236	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_19.json	2546	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_19.md
BV1_03237	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_2.json	2397	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_2.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_2.md
BV1_03238	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_20.json	2553	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_20.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_20.md
BV1_03239	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_21.json	2323	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_21.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_21.md
BV1_03240	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_22.json	2241	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_22.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_22.md
BV1_03241	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_23.json	2055	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_23.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_23.md
BV1_03242	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_24.json	2759	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_24.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_24.md
BV1_03243	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_25.json	2462	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_25.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_25.md
BV1_03244	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_3.json	2445	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_3.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_3.md
BV1_03245	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_4.json	2419	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_4.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_4.md
BV1_03246	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_5.json	2700	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_5.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_5.md
BV1_03247	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_6.json	2506	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_6.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_6.md
BV1_03248	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_7.json	2256	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_7.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_7.md
BV1_03249	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_8.json	2628	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_8.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_8.md
BV1_03250	claude-fable-5-1	fable-5-1-direct	LONG	anthropic	fable-5-1-direct/LONG_9.json	2417	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/LONG_9.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/LONG_9.md
BV1_03251	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_1.json	1007	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_1.md
BV1_03252	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_10.json	1023	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_10.md
BV1_03253	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_11.json	1016	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_11.md
BV1_03254	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_12.json	990	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_12.md
BV1_03255	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_13.json	1024	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_13.md
BV1_03256	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_14.json	1034	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_14.md
BV1_03257	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_15.json	989	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_15.md
BV1_03258	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_16.json	955	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_16.md
BV1_03259	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_17.json	1027	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_17.md
BV1_03260	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_18.json	1019	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_18.md
BV1_03261	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_19.json	992	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_19.md
BV1_03262	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_2.json	1008	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_2.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_2.md
BV1_03263	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_20.json	1056	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_20.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_20.md
BV1_03264	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_21.json	1050	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_21.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_21.md
BV1_03265	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_22.json	1055	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_22.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_22.md
BV1_03266	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_23.json	1037	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_23.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_23.md
BV1_03267	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_24.json	1024	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_24.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_24.md
BV1_03268	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_25.json	1015	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_25.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_25.md
BV1_03269	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_3.json	1020	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_3.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_3.md
BV1_03270	claude-fable-5-1	fable-5-1-direct	MID	anthropic	fable-5-1-direct/MID_4.json	1059	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_fable-5-1-direct/MID_4.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/fable-5-1-direct/MID_4.md
