pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_05101	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_1.json	3894	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_1.md
BV1_05102	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_10.json	4526	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_10.md
BV1_05103	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_11.json	3735	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_11.md
BV1_05104	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_12.json	4739	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_12.md
BV1_05105	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_13.json	4466	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_13.md
BV1_05106	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_14.json	4636	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_14.md
BV1_05107	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_15.json	4435	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_15.md
BV1_05108	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_16.json	4235	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_16.md
BV1_05109	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_17.json	4167	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_17.md
BV1_05110	google/gemini-3.8-flash	gemini-3-8-flash-or-pin-google	LONG	openrouter	gemini-3-8-flash-or-pin-google/LONG_18.json	5661	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-3-8-flash-or-pin-google/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gemini-3-8-flash-or-pin-google/LONG_18.md
