pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_16026	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_1.json	2433	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_1.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_1.md
BV1_16027	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_10.json	2372	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_10.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_10.md
BV1_16028	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_11.json	2455	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_11.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_11.md
BV1_16029	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_12.json	2554	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_12.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_12.md
BV1_16030	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_13.json	2294	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_13.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_13.md
BV1_16031	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_14.json	2495	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_14.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_14.md
BV1_16032	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_15.json	2403	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_15.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_15.md
BV1_16033	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_16.json	2303	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_16.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_16.md
BV1_16034	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_17.json	2438	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_17.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_17.md
BV1_16035	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_18.json	2723	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_18.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_18.md
BV1_16036	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_19.json	2494	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_19.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_19.md
BV1_16037	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_2.json	2532	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_2.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_2.md
BV1_16038	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_20.json	2302	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_20.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_20.md
BV1_16039	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_21.json	2572	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_21.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_21.md
BV1_16040	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_22.json	2254	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_22.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_22.md
BV1_16041	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_23.json	2497	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_23.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_23.md
BV1_16042	gpt-6-astra	gpt-6-astra-direct	LONG	openai	gpt-6-astra-direct/LONG_24.json	2435	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-6-astra-direct/LONG_24.json	/Users/danieltenner/dev/research/astra-release-20260904/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/gpt-6-astra-direct/LONG_24.md
