pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_02076	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_1.json	2147	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_1.md
BV1_02077	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_10.json	2120	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_10.md
BV1_02078	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_11.json	2613	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_11.md
BV1_02079	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_12.json	1999	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_12.md
BV1_02080	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_13.json	2207	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_13.md
BV1_02081	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_14.json	2301	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_14.md
BV1_02082	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_15.json	2251	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_15.md
BV1_02083	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_16.json	1717	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_16.md
BV1_02084	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_17.json	2282	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_17.md
BV1_02085	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_18.json	2319	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_18.md
BV1_02086	deepseek/deepseek-v4.1-flash	deepseek-v4-1-flash-or-pin-deepseek	LONG	openrouter	deepseek-v4-1-flash-or-pin-deepseek/LONG_19.json	2155	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-1-flash-or-pin-deepseek/LONG_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/deepseek-v4-1-flash-or-pin-deepseek/LONG_19.md
