pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_31226	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_1.json	2521	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_1.md
BV1_31227	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_10.json	2514	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_10.md
BV1_31228	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_11.json	2513	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_11.md
BV1_31229	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_12.json	2492	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_12.md
BV1_31230	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_13.json	2396	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_13.md
BV1_31231	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_14.json	2449	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_14.md
BV1_31232	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_15.json	2529	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_15.md
BV1_31233	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_16.json	2594	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_16.md
BV1_31234	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_17.json	2528	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_17.md
BV1_31235	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_18.json	2463	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_18.md
